# alphabet: 0123456789
# size: 20
# showSolveButton: 1
# showDescriptions: 0
# totalWords: 30
# initialScore: 1000
# every: 10
# deduct: 2
# puzzleDescription: 
# name: 3 digits additions
426:286 + 140 | 
906:153 + 753 | 
1015:804 + 211 | 
625:298 + 327 | 
631:386 + 245 | 
1484:992 + 492 | 
880:760 + 120 | 
1157:778 + 379 | 
729:299 + 430 | 
1249:854 + 395 | 
1687:749 + 938 | 
1309:387 + 922 | 
784:163 + 621 | 
1185:464 + 721 | 
498:211 + 287 | 
1096:306 + 790 | 
954:333 + 621 | 
1619:731 + 888 | 
1559:677 + 882 | 
831:170 + 661 | 
1287:560 + 727 | 
633:314 + 319 | 
1684:844 + 840 | 
1011:287 + 724 | 
1062:693 + 369 | 
773:100 + 673 | 
1111:906 + 205 | 
1161:517 + 644 | 
888:222 + 666 | 
1098:399 + 699 | 
1129:789 + 340 | 
1171:687 + 484 | 
1884:935 + 949 | 
1405:514 + 891 | 
675:244 + 431 | 
1138:867 + 271 | 
1925:959 + 966 | 
1655:917 + 738 | 
626:225 + 401 | 
1057:363 + 694 | 
1150:309 + 841 | 
754:261 + 493 | 
948:665 + 283 | 
982:415 + 567 | 
1415:644 + 771 | 
548:216 + 332 | 
1345:656 + 689 | 
395:164 + 231 | 
824:606 + 218 | 
1103:859 + 244 | 
1146:593 + 553 | 
1231:816 + 415 | 
1057:574 + 483 | 
1230:385 + 845 | 
1098:488 + 610 | 
1108:667 + 441 | 
1170:336 + 834 | 
1250:683 + 567 | 
447:250 + 197 | 
1550:654 + 896 | 
584:281 + 303 | 
1017:312 + 705 | 
1034:867 + 167 | 
1699:932 + 767 | 
1409:969 + 440 | 
904:341 + 563 | 
825:705 + 120 | 
1156:325 + 831 | 
1337:835 + 502 | 
897:439 + 458 | 
1690:902 + 788 | 
1314:791 + 523 | 
708:163 + 545 | 
879:607 + 272 | 
1593:841 + 752 | 
1128:395 + 733 | 
1099:103 + 996 | 
803:455 + 348 | 
711:530 + 181 | 
664:136 + 528 | 
566:222 + 344 | 
1721:798 + 923 | 
1847:961 + 886 | 
1065:203 + 862 | 
1296:741 + 555 | 
1095:574 + 521 | 
1607:795 + 812 | 
1193:981 + 212 | 
884:275 + 609 | 
810:137 + 673 | 
1187:669 + 518 | 
1423:581 + 842 | 
902:216 + 686 | 
756:379 + 377 | 
808:525 + 283 | 
875:607 + 268 | 
1317:994 + 323 | 
979:790 + 189 | 
1313:902 + 411 | 
772:167 + 605 | 
927:609 + 318 | 
1064:373 + 691 | 
1475:561 + 914 | 
1807:955 + 852 | 
806:147 + 659 | 
911:609 + 302 | 
725:596 + 129 | 
1643:920 + 723 | 
1422:847 + 575 | 
1395:533 + 862 | 
1378:691 + 687 | 
811:588 + 223 | 
791:327 + 464 | 
958:650 + 308 | 
1718:892 + 826 | 
871:730 + 141 | 
1086:259 + 827 | 
1418:639 + 779 | 
1129:997 + 132 | 
1116:779 + 337 | 
1514:904 + 610 | 
873:564 + 309 | 
1840:842 + 998 | 
1141:820 + 321 | 
1422:463 + 959 | 
446:109 + 337 | 
1095:473 + 622 | 
1278:649 + 629 | 
778:330 + 448 | 
1016:733 + 283 | 
1133:760 + 373 | 
1001:626 + 375 | 
1077:363 + 714 | 
1080:240 + 840 | 
1438:600 + 838 | 
516:239 + 277 | 
432:124 + 308 | 
1318:487 + 831 | 
1884:997 + 887 | 
775:106 + 669 | 
1268:339 + 929 | 
806:541 + 265 | 
1043:642 + 401 | 
1417:578 + 839 | 
559:390 + 169 | 
1113:140 + 973 | 
476:369 + 107 | 
1589:948 + 641 | 
917:191 + 726 | 
1115:630 + 485 | 
891:660 + 231 | 
1577:976 + 601 | 
1311:661 + 650 | 
835:176 + 659 | 
887:763 + 124 | 
1169:395 + 774 | 
1103:438 + 665 | 
1553:703 + 850 | 
1122:515 + 607 | 
1271:421 + 850 | 
1070:629 + 441 | 
1035:315 + 720 | 
1115:820 + 295 | 
1459:659 + 800 | 
865:165 + 700 | 
1192:892 + 300 | 
1063:355 + 708 | 
1025:393 + 632 | 
1010:354 + 656 | 
1215:530 + 685 | 
1225:384 + 841 | 
478:179 + 299 | 
1457:575 + 882 | 
1165:419 + 746 | 
1312:738 + 574 | 
1020:730 + 290 | 
1083:660 + 423 | 
1605:688 + 917 | 
1116:636 + 480 | 
969:768 + 201 | 
1148:642 + 506 | 
682:366 + 316 | 
1041:183 + 858 | 
1068:382 + 686 | 
979:673 + 306 | 
1461:471 + 990 | 
339:227 + 112 | 
1180:383 + 797 | 
1686:926 + 760 | 
1586:595 + 991 | 
1403:912 + 491 | 
1050:662 + 388 | 
716:437 + 279 | 
261:113 + 148 | 
1300:574 + 726 | 
976:228 + 748 | 
831:445 + 386 | 
1060:663 + 397 | 
1310:635 + 675 | 
1146:596 + 550 |
